latitude,longitude,Yelp_restaurant_number,Yelp_avg_distance,Yelp_avg_review_count,Yelp_avg_rating
49.279764,-123.110154,20,135.50184644993925,213.2,6.25
49.279821,-123.10802,20,66.25677190510531,45.5,6.8
49.279938,-123.127478,20,99.88352073358678,64.8,5.0
49.280197,-123.065859,20,352.79659709602225,79.9,6.95
49.280216,-123.117639,20,60.556563684091046,236.35,6.55
49.28026,-123.135244,20,213.64822879823868,113.0,6.1
49.280284,-123.097052,20,104.9168537042555,43.8,6.25
49.280332,-123.070068,20,361.0834330318375,66.0,6.95
49.280427,-123.074082,20,218.19942967496982,29.65,5.85
49.28062,-123.12482,20,79.83586116460631,104.75,7.1
49.280787,-123.115271,20,121.30793382442205,164.9,5.25
49.280852,-123.084746,20,249.42908703833578,17.35,6.75
49.280881,-123.130672,20,75.3015742767773,80.05,6.05
49.280977,-123.035969,20,592.0764132785465,45.1,6.25
49.28117,-123.104419,20,144.39687623871433,97.1,8.2
49.281301,-123.139108,20,399.52963214523055,94.7,6.35
49.281506,-123.120101,20,71.400262260365,71.8,6.55
49.282087,-123.056909,20,133.38720362181704,68.45,7.05
49.282214,-123.114101,20,105.17377387466976,57.05,5.95
49.282224,-123.132778,20,66.77287082267466,91.45,6.15
49.282409,-123.118541,20,63.19698539336434,24.4,5.55
49.282503,-123.124697,20,120.8080978413689,236.2,6.9
49.282758,-123.122092,20,75.20395744960304,66.8,6.95
49.282759,-123.106955,20,101.05797898675164,92.7,6.7
49.283227,-123.120523,20,53.561170886669174,4.85,5.65
49.283236,-123.070443,20,350.8778800443703,54.2,7.75
49.283298,-123.142288,20,401.44198434667635,60.2,6.45
49.283343,-123.131099,20,219.04073243712983,84.85,5.05
49.283749,-123.136133,20,248.7402178629713,81.85,6.45
49.283968,-123.061615,20,280.91097381185574,73.15,6.9
49.283986,-123.065264,20,243.43889362957012,48.1,6.7
49.283992,-123.091206,20,372.60761443243206,84.05,5.65
49.284062,-123.095097,20,262.29594854874847,119.0,5.7
49.284157,-123.099917,20,215.52792337725546,124.65,6.35
49.284554,-123.111031,20,60.77312165289074,93.55,5.0
49.284605,-123.108662,20,92.9506024958666,164.8,7.6
49.284893,-123.128685,20,156.7334644190039,98.9,5.9
49.28512,-123.11242,20,54.01797074444785,26.05,4.55
49.285253,-123.134356,20,323.2527960855902,86.7,6.1
49.28526,-123.141809,20,195.03133163069933,60.2,6.45
49.285512,-123.1384,20,230.64689447113136,43.85,6.1
49.285575,-123.061575,20,345.09124153575925,78.2,7.0
49.2856698,-123.1125432,20,81.8860372212425,29.35,4.25
49.285836,-123.127265,20,48.60079602991189,90.85,6.6
49.285871,-123.12105,20,65.9927712318661,27.5,6.1
49.285953,-123.124066,20,92.4434050438177,122.45,5.45
49.28602,-123.116624,20,69.1629193696613,36.5,6.5
49.28691,-123.128818,20,57.30695063227064,127.45,5.65
49.287097,-123.118551,20,72.53690558456051,73.7,5.9
49.287214,-123.11287,20,105.13233154162526,151.3,6.45
49.287464,-123.060771,20,530.5662209381879,45.55,7.1
49.287528,-123.142139,20,73.65786692554322,61.15,6.15
49.28763,-123.127245,20,114.85572227692528,73.45,5.65
49.287782,-123.12395,20,107.75437764939474,61.7,6.95
49.288011,-123.132006,20,140.17223015190754,88.65,6.7
49.28803,-123.142135,20,93.7362889586372,51.3,6.0
49.288444,-123.139203,20,67.92206842896586,52.5,7.35
49.288682,-123.11818,20,135.29761484576224,160.3,6.95
49.2890705989865,-123.138407369468,20,92.63304310778943,63.5,7.0
49.289124,-123.12196,20,161.4098781458405,62.75,7.25
49.289255,-123.132677,20,44.95517880272673,59.25,6.6
49.28972,-123.144028,20,302.54150550723796,62.6,6.7
49.290112,-123.127062,20,202.33980783950247,50.8,5.85
49.290587,-123.13625,20,61.97133608330053,111.35,6.2
49.291597,-123.129158,20,217.39472651139172,79.1,6.75
49.291909,-123.140713,20,301.6796496021917,109.3,6.6
49.293257,-123.138563,20,285.3084591786448,128.35,7.1
49.294318,-123.148808,20,827.5975024760552,54.25,6.65
49.29534,-123.150433,20,960.0112421397087,64.7,6.7
49.297933,-123.130758,20,627.0163499682276,152.45,6.7
49.298657,-123.121176,20,967.8244657929538,99.25,6.85
49.299292,-123.130281,20,735.4869763392446,152.45,6.7
49.302577,-123.155616,3,637.5381378861917,146.66666666666666,3.6666666666666665
