latitude,longitude,fsq_restaurant_number,Fsq_avg_distance,Fsq_avg_price,Fsq_avg_rating
49.289124,-123.12196,10,335.4,1.8,8.42
49.289255,-123.132677,10,176.2,1.8,8.239999999999998
49.28972,-123.144028,10,359.0,2.0,7.75
49.290112,-123.127062,10,331.0,2.2222222222222223,8.209999999999999
49.290587,-123.13625,10,75.7,1.8888888888888888,8.03
49.291597,-123.129158,10,275.1,2.2222222222222223,8.17
49.291909,-123.140713,10,320.2,1.875,7.909999999999999
49.293257,-123.138563,10,307.8,2.0,8.05
49.294318,-123.148808,10,914.2,1.875,7.659999999999999
49.29534,-123.150433,2,881.0,2.0,8.7
49.297933,-123.130758,10,649.7,2.0,8.044444444444444
49.298657,-123.121176,6,858.1666666666666,2.4,7.82
49.299292,-123.130281,10,739.2,2.0,8.044444444444444
49.302577,-123.155616,2,128.5,2.0,8.7
