,name,latitude,longitude,free_bikes
194,14th & Oak,49.258761,-123.127071,5
195,Wallace & 4th,49.268974,-123.190701,3
196,Balsam & Cornwall,49.273011,-123.159663,20
197,Balaclava & 6th,49.266924,-123.173849,12
198,Trafalgar & Broadway,49.264326,-123.164725,11
199,Dunbar & 6th,49.266636,-123.183661,12
200,18th & Cambie,49.254818,-123.114785,2
201,Blenheim & 4th,49.268837,-123.177633,8
202,18th & Heather,49.255034,-123.120226,6
203,Point Grey & Bayswater,49.271044,-123.170661,7
204,20th & Main,49.252691,-123.101289,7
205,Station & Terminal,49.272172,-123.097978,11
206,Jericho Beach,49.271082,-123.191458,2
207,Burrard & Drake,49.27808,-123.130557,6
208,Columbia & 1st,49.269969,-123.109623,15
209,Davie & Beach,49.287528,-123.142139,25
210,Morton & Denman,49.28803,-123.142135,3
211,13th & Cambie,49.259579,-123.114769,7
212,Nelson & Denman,49.2890705989865,-123.138407369468,12
213,Melville & Bute,49.287782,-123.12395,8
214,Seymour & Cordova,49.28512,-123.11242,4
215,Arbutus & Nanton,49.247854,-123.153422,7
216,Yukon & 6th,49.265939,-123.1129,10
217,11th & Kingsway,49.261122,-123.097571,13
218,Wylie & 2nd,49.267725,-123.11311,16
219,29th & Cambie,49.245135,-123.116098,3
220,Rolston & Granville,49.274232,-123.129998,11
221,East Blvd & 37th,49.238105,-123.154966,6
222,28th & Willow,49.246243,-123.124373,2
223,Ontario & 23rd,49.249722,-123.104991,5
224,30th & Ontario,49.243375,-123.104978,5
225,Franklin & Nanaimo,49.282087,-123.056909,0
226,Lakewood & Triumph,49.283968,-123.061615,11
227,Wall & Eton,49.287464,-123.060771,8
228,Lakewood & Oxford,49.285575,-123.061575,13
229,22nd & Cambie,49.251358,-123.115637,3
230,King Edward & Cambie,49.249184,-123.116141,14
231,Heather & 29th,49.245535,-123.120496,9
232,Cardero & Robson,49.289255,-123.132677,24
233,Commercial & 20th,49.252656,-123.067965,3
234,Burrard & 14th,49.259469,-123.145718,15
235,Hornby & Drake,49.277178,-123.13,4
236,Cardero & Bayshore,49.291597,-123.129158,17
237,27th & Main,49.247204,-123.101549,6
238,Cordova & Granville,49.2856698,-123.1125432,4
239,22nd & Main,49.25094,-123.101306,7
240,PNE - Hastings & Windermere,49.280977,-123.035969,4
241,1st & Fir,49.270783,-123.141564,18
242,Sasamat & 10th,49.264019,-123.209176,5
243,Trimble & 8th,49.2658,-123.20596,1
244,Highbury & 8th,49.265442,-123.187738,4
