fsq_restaurant_number,Fsq_avg_distance,Fsq_avg_price,Fsq_avg_rating,Yelp_avg_distance,Yelp_avg_rating,free_bikes
10,400.9,1.7,8.059999999999999,284.9705396297145,6.95,5
10,300.8,1.9,8.14,76.63180732881513,6.55,1
10,473.0,1.9,8.15,426.2622620572788,6.45,12
10,396.1,1.5555555555555556,8.25,265.3355748769954,7.0,14
10,201.5,2.1,8.65,159.3714053888488,6.05,11
10,262.7,1.5555555555555556,8.57,107.41339675303168,6.85,11
10,289.9,1.7777777777777777,7.85,163.56107071059756,6.8,5
10,587.0,2.125,7.88,454.251934940978,6.85,13
10,635.2,2.0,8.15,466.4247174323044,6.4,0
10,404.5,1.5555555555555556,8.27,259.7458962670146,5.35,0
10,278.0,2.1,8.51,215.52792337725543,6.35,0
10,840.5,1.875,7.455555555555555,510.6835814805549,7.6,5
10,282.1,1.8,8.02,205.2909437433137,6.1,10
10,248.0,1.8888888888888888,7.655555555555556,254.6477546941406,7.55,12
10,500.4,1.875,8.011111111111111,459.2306579939915,6.75,7
10,298.5,1.8,8.3,134.41847237827452,6.85,8
10,348.2,1.8888888888888888,8.620000000000001,262.29594854874847,5.7,0
10,509.7,1.7777777777777777,7.4625,280.3322927776354,6.6,5
10,387.5,1.7,8.01,236.36001712427915,7.0,1
10,269.0,1.4444444444444444,8.23,150.55987183631024,6.9,16
10,372.6,1.6,7.859999999999999,234.8369728915428,6.45,0
10,289.6,1.3333333333333333,8.22,229.38693152917816,6.25,17
10,497.2,1.6,8.209999999999999,397.91196581630186,7.3,8
10,193.7,1.6666666666666667,8.059999999999999,66.77287082267466,6.15,9
10,476.6,2.1666666666666665,7.74,200.32285155362683,5.95,7
10,549.7,2.111111111111111,7.811111111111111,267.5777225443615,6.9,13
10,463.2,1.5555555555555556,8.129999999999999,240.63902063497815,5.2,7
10,407.6,1.2,7.94,176.90699202565366,4.65,9
10,196.9,1.7,8.25,135.29761484576224,6.95,16
10,239.3,2.2,7.877777777777778,178.30768330559718,6.9,8
10,269.3,2.111111111111111,7.43,164.6711788116847,6.25,19
10,256.2,1.4,7.87,122.2027278657035,6.85,3
10,258.2,1.8,8.379999999999999,114.85572227692528,5.65,12
10,649.7,2.0,8.044444444444444,627.0163499682276,6.7,9
10,583.8,1.75,7.85,475.83588367558633,5.85,8
10,221.8,1.6,8.379999999999999,104.9168537042555,6.25,12
10,523.1,1.625,8.620000000000001,285.7367295174139,6.55,0
10,641.9,1.4,7.909999999999999,384.4707027724713,5.1,10
10,335.6,1.5,8.059999999999999,185.6411434268029,5.7,22
10,251.9,1.7,8.11,181.90337084333692,6.8,8
10,370.3,1.4,7.75,361.0834330318375,6.95,7
10,482.2,1.6666666666666667,8.43,354.02976669766537,4.9,7
10,548.0,1.8888888888888888,8.559999999999999,372.60761443243206,5.65,0
10,145.8,2.0,8.190000000000001,74.64229755568971,7.25,10
10,243.5,1.9,8.01,187.04610646473597,6.85,11
10,670.1,1.7,8.322222222222221,461.0498155281078,5.9,14
10,706.7,1.875,7.65,483.3181901914866,5.25,8
10,189.5,1.9,8.26,57.303259178709126,7.15,4
10,178.8,1.8,8.139999999999999,81.35291192797949,6.15,7
10,160.2,1.8,8.129999999999999,73.9197012850969,5.95,2
10,278.4,1.8,7.65,154.809589290155,6.35,9
10,285.3,1.7,7.529999999999999,115.8949885349562,5.9,5
10,423.2,1.7,7.529999999999999,283.5138379434343,6.05,7
10,778.9,1.4,7.37,462.41943053076113,5.7,4
10,482.7,1.6,8.01,261.3337571874755,7.45,7
10,401.1,1.7,7.65,330.7890294506,6.1,6
10,333.1,1.8,8.129999999999999,286.6637477467453,6.0,5
10,361.0,1.8,8.18,294.6124994135541,7.1,6
10,297.7,2.0,8.07,275.2847267695248,6.1,13
10,217.8,1.7,8.129999999999999,186.52455842383603,6.55,16
10,375.1,1.8,8.190000000000001,343.6240661205115,6.6,3
10,416.0,1.7,8.17,344.3407064032586,6.8,2
10,326.8,1.5,8.17,329.69975924192,7.6,1
10,432.0,1.5,8.17,244.59931387426693,7.25,13
10,578.3,1.5,8.08,262.59251631910166,7.4,12
10,538.0,1.5,8.17,384.1494488860591,6.15,12
10,788.8,1.5,8.129999999999999,371.20613158794487,6.15,6
